KONCESSION,Spanning,Enhet,FöretagNa,kommunkod,kommunnamn,Företagsnamn,Hemsida,Emailadress,Telefonnummer,Adress
8300A,70,REL03030,Vattenfall Eldistribution AB,"0184",Solna,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
406GU,20,REL03028,E.ON Energidistribution AB,"2309",Krokom,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4CH,40,REL00085,Jämtkraft Elnät AB,"2309",Krokom,Jämtkraft Elnät AB,jamtkraft.se,info@jamtkraft.se,063-14 90 00,"Kyrkgatan 21, 831 25 Östersund"
6349Ö,20,REL00014,Blåsjön Nät AB,"2309",Krokom,Blåsjön Nät AB,blasjonnat.se,info@blasjonnat.se,0680-242 00,"Sörmovägen 1, Box 129, 842 22 Sveg"
1952EA,52,REL00576,Härjeåns Nät AB,"2161",Ljusdal,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
237AE,20,REL03035,Ellevio AB,"2161",Ljusdal,Ellevio AB,ellevio.se,,0771-53 53 00,
35CR,24,REL03035,Ellevio AB,"2161",Ljusdal,Ellevio AB,ellevio.se,,0771-53 53 00,
4694AF,20,REL03035,Ellevio AB,"2161",Ljusdal,Ellevio AB,ellevio.se,,0771-53 53 00,
6480V,20,REL00113,Ljusdal Elnät AB,"2161",Ljusdal,Ljusdal Elnät AB,ljusdalenergi.se,info@ljusdalenergi.se,0651-760 750,"Björkhamrevägen 2 A, 827 35 Ljusdal"
"10870",52,REL00008,Bergs Tingslags Elektriska AB,"2326",Berg,Bergs Tingslags Elektriska AB,btea.se,info@btea.se,0771-44 44 41,"Olstavägen 26, 845 51 Åsarna"
1952EA,52,REL00576,Härjeåns Nät AB,"2326",Berg,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
4CH,40,REL00085,Jämtkraft Elnät AB,"2326",Berg,Jämtkraft Elnät AB,jamtkraft.se,info@jamtkraft.se,063-14 90 00,"Kyrkgatan 21, 831 25 Östersund"
1834AE,20,REL03046,PiteEnergi Elnät AB,"2505",Arvidsjaur,PiteEnergi Elnät AB,piteenergi.se,kundservice@piteenergi.se,0911-648 00,"Västra kajvägen 1, 941 28 Piteå"
412KC,20,REL00824,Skellefteå Kraft Elnät AB,"2505",Arvidsjaur,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
8600E,20,REL03030,Vattenfall Eldistribution AB,"2505",Arvidsjaur,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600F,20,REL03030,Vattenfall Eldistribution AB,"2505",Arvidsjaur,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600I,20,REL03030,Vattenfall Eldistribution AB,"2505",Arvidsjaur,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2505",Arvidsjaur,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1699N,10,REL00067,Hallstaviks Elverk ek. för.,"0188",Norrtälje,Hallstaviks Elverk ek. för.,hallstavikselverk.se,kundservice@hallstavikselverk.se,0175-230 70,"Lundåsvägen 6, 763 30 Hallstavik"
3238AK,24,REL00133,Norrtälje Energi AB,"0188",Norrtälje,Norrtälje Energi AB,norrtaljeenergi.se,info@norrtaljeenergi.se,0176-718 00,"Box 216, 761 23 Norrtälje"
3580AB,20,REL03035,Ellevio AB,"0188",Norrtälje,Ellevio AB,ellevio.se,,0771-53 53 00,
5259L,25,REL03030,Vattenfall Eldistribution AB,"0188",Norrtälje,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGM,20,REL03030,Vattenfall Eldistribution AB,"0188",Norrtälje,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGR,20,REL03030,Vattenfall Eldistribution AB,"0188",Norrtälje,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGT,20,REL03030,Vattenfall Eldistribution AB,"0188",Norrtälje,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7413T,20,REL03028,E.ON Energidistribution AB,"0188",Norrtälje,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1698AB,20,REL00824,Skellefteå Kraft Elnät AB,"2481",Lycksele,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
412KC,20,REL00824,Skellefteå Kraft Elnät AB,"2481",Lycksele,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2481",Lycksele,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1275Aa,20,REL00959,Åsele Elnät AB,"2463",Åsele,Åsele Elnät AB,aselekraft.net,info@aselekraft.net,0941-100 03,"Centralgatan 31, 919 31 Åsele"
1698AB,20,REL00824,Skellefteå Kraft Elnät AB,"2463",Åsele,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
406GU,20,REL03028,E.ON Energidistribution AB,"2463",Åsele,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
8600N,22,REL03030,Vattenfall Eldistribution AB,"2463",Åsele,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"11004",24,REL03030,Vattenfall Eldistribution AB,"2463",Åsele,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600Q,20,REL03030,Vattenfall Eldistribution AB,"2463",Åsele,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
412JX,20,REL00824,Skellefteå Kraft Elnät AB,"2480",Umeå,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
412KC,20,REL00824,Skellefteå Kraft Elnät AB,"2480",Umeå,Skellefteå Kraft Elnät AB,skekraft.se,kundservice@skekraft.se,0910-77 25 50,"Kanalgatan 71, 931 80 Skellefteå"
72JA,52,REL00584,Umeå Energi Elnät AB,"2480",Umeå,Umeå Energi Elnät AB,umeaenergi.se,umea.energi@umeaenergi.se,090-16 00 00,"Box 224, 901 05 Umeå"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2480",Umeå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"11004",24,REL03030,Vattenfall Eldistribution AB,"2480",Umeå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
104FA,40,REL00118,Luleå Energi Elnät AB,"2580",Luleå,Luleå Energi Elnät AB,luleaenergi.se,info@luleaenergi.se,0920-26 44 00,"Björkskataleden 95, 973 47 Luleå"
1834AE,20,REL03046,PiteEnergi Elnät AB,"2580",Luleå,PiteEnergi Elnät AB,piteenergi.se,kundservice@piteenergi.se,0911-648 00,"Västra kajvägen 1, 941 28 Piteå"
294IT,20,REL00015,Bodens Energi Nät AB,"2580",Luleå,Bodens Energi Nät AB,bodensenergi.se,info@bodensenergi.se,0921-582 00,"Slipvägen 7, 961 38 Boden"
8600H,20,REL03030,Vattenfall Eldistribution AB,"2580",Luleå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600R,20,REL03030,Vattenfall Eldistribution AB,"2580",Luleå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
35CR,24,REL03035,Ellevio AB,"2184",Hudiksvall,Ellevio AB,ellevio.se,,0771-53 53 00,
35DA,20,REL03035,Ellevio AB,"2184",Hudiksvall,Ellevio AB,ellevio.se,,0771-53 53 00,
380CIB,20,REL03028,E.ON Energidistribution AB,"2184",Hudiksvall,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
6480V,20,REL00113,Ljusdal Elnät AB,"2184",Hudiksvall,Ljusdal Elnät AB,ljusdalenergi.se,info@ljusdalenergi.se,0651-760 750,"Björkhamrevägen 2 A, 827 35 Ljusdal"
64OÅ,20,REL03035,Ellevio AB,"2184",Hudiksvall,Ellevio AB,ellevio.se,,0771-53 53 00,
120BY,20,REL00178,Sundsvall Elnät AB,"2281",Sundsvall,Sundsvall Elnät AB,sundsvallelnat.se,info@sundsvallelnat.se,060-600 50 20,"Norra Järnvägsgatan 1, 851 85 Sundsvall"
1952EA,52,REL00576,Härjeåns Nät AB,"2281",Sundsvall,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
380CIB,20,REL03028,E.ON Energidistribution AB,"2281",Sundsvall,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
406GU,20,REL03028,E.ON Energidistribution AB,"2281",Sundsvall,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1905AF,12,REL00139,Näckåns Elnät AB,"1737",Torsby,Näckåns Elnät AB,nackansenergi.se,nackans@nackansenergi.se,0564-100 32,"Näckån 4, 680 60 Sysslebäck"
"11116",36,REL00123,Malung-Sälens Elnät AB,"1737",Torsby,Malung-Sälens Elnät AB,malungselnat.se,kundservice@msen.se,0280-442 00,"Box 4, 782 21 Malung"
7220EI,24,REL03035,Ellevio AB,"1737",Torsby,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EK,20,REL03035,Ellevio AB,"1737",Torsby,Ellevio AB,ellevio.se,,0771-53 53 00,
804Al,20,REL00139,Näckåns Elnät AB,"1737",Torsby,Näckåns Elnät AB,nackansenergi.se,nackans@nackansenergi.se,0564-100 32,"Näckån 4, 680 60 Sysslebäck"
1517DP,20,REL03035,Ellevio AB,"2023",Malung-Sälen,Ellevio AB,ellevio.se,,0771-53 53 00,
35DG,20,REL03035,Ellevio AB,"2023",Malung-Sälen,Ellevio AB,ellevio.se,,0771-53 53 00,
35DH,20,REL03035,Ellevio AB,"2023",Malung-Sälen,Ellevio AB,ellevio.se,,0771-53 53 00,
"11116",36,REL00123,Malung-Sälens Elnät AB,"2023",Malung-Sälen,Malung-Sälens Elnät AB,malungselnat.se,kundservice@msen.se,0280-442 00,"Box 4, 782 21 Malung"
7220EI,24,REL03035,Ellevio AB,"2023",Malung-Sälen,Ellevio AB,ellevio.se,,0771-53 53 00,
804Al,20,REL00139,Näckåns Elnät AB,"2023",Malung-Sälen,Näckåns Elnät AB,nackansenergi.se,nackans@nackansenergi.se,0564-100 32,"Näckån 4, 680 60 Sysslebäck"
104FA,40,REL00118,Luleå Energi Elnät AB,"2582",Boden,Luleå Energi Elnät AB,luleaenergi.se,info@luleaenergi.se,0920-26 44 00,"Björkskataleden 95, 973 47 Luleå"
1834AE,20,REL03046,PiteEnergi Elnät AB,"2582",Boden,PiteEnergi Elnät AB,piteenergi.se,kundservice@piteenergi.se,0911-648 00,"Västra kajvägen 1, 941 28 Piteå"
294IT,20,REL00015,Bodens Energi Nät AB,"2582",Boden,Bodens Energi Nät AB,bodensenergi.se,info@bodensenergi.se,0921-582 00,"Slipvägen 7, 961 38 Boden"
8600B,20,REL03030,Vattenfall Eldistribution AB,"2582",Boden,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600E,20,REL03030,Vattenfall Eldistribution AB,"2582",Boden,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600H,20,REL03030,Vattenfall Eldistribution AB,"2582",Boden,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"10870",52,REL00008,Bergs Tingslags Elektriska AB,"2305",Bräcke,Bergs Tingslags Elektriska AB,btea.se,info@btea.se,0771-44 44 41,"Olstavägen 26, 845 51 Åsarna"
1952EA,52,REL00576,Härjeåns Nät AB,"2305",Bräcke,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
380CIB,20,REL03028,E.ON Energidistribution AB,"2305",Bräcke,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4CH,40,REL00085,Jämtkraft Elnät AB,"2305",Bräcke,Jämtkraft Elnät AB,jamtkraft.se,info@jamtkraft.se,063-14 90 00,"Kyrkgatan 21, 831 25 Östersund"
104FA,40,REL00118,Luleå Energi Elnät AB,"2514",Kalix,Luleå Energi Elnät AB,luleaenergi.se,info@luleaenergi.se,0920-26 44 00,"Björkskataleden 95, 973 47 Luleå"
